Type,Date,Open,High,Low,Close,Adj Close,Volume
BTC,8/22/2017,3998.350098,4128.759766,3674.580078,4100.52002,4100.52002,3764239872
BTC,8/23/2017,4089.01001,4255.779785,4078.409912,4151.52002,4151.52002,2369819904
BTC,8/24/2017,4137.600098,4376.390137,4130.259766,4334.680176,4334.680176,2037750016
BTC,8/25/2017,4332.819824,4455.700195,4307.350098,4371.600098,4371.600098,1727970048
BTC,8/26/2017,4372.060059,4379.279785,4269.52002,4352.399902,4352.399902,1511609984
BTC,8/27/2017,4345.100098,4416.589844,4317.290039,4382.879883,4382.879883,1537459968
BTC,8/28/2017,4384.450195,4403.930176,4224.640137,4382.660156,4382.660156,1959330048
BTC,8/29/2017,4389.209961,4625.680176,4352.129883,4579.02002,4579.02002,2486080000
BTC,8/30/2017,4570.359863,4626.52002,4471.410156,4565.299805,4565.299805,1937849984
BTC,8/31/2017,4555.589844,4736.049805,4549.399902,4703.390137,4703.390137,1944930048
BTC,9/1/2017,4701.759766,4892.009766,4678.529785,4892.009766,4892.009766,2599079936
BTC,9/2/2017,4901.419922,4975.040039,4469.240234,4578.77002,4578.77002,2722139904
BTC,9/3/2017,4585.27002,4714.080078,4417.589844,4582.959961,4582.959961,1933190016
BTC,9/4/2017,4591.629883,4591.629883,4108.399902,4236.310059,4236.310059,2987330048
BTC,9/5/2017,4228.290039,4427.839844,3998.110107,4376.529785,4376.529785,2697969920
BTC,9/6/2017,4376.589844,4617.25,4376.589844,4597.120117,4597.120117,2172100096
BTC,9/7/2017,4589.140137,4655.040039,4491.330078,4599.879883,4599.879883,1844620032
BTC,9/8/2017,4605.160156,4661,4075.179932,4228.75,4228.75,2700890112
BTC,9/9/2017,4229.810059,4308.819824,4114.109863,4226.060059,4226.060059,1386230016
BTC,9/10/2017,4229.339844,4245.439941,3951.040039,4122.939941,4122.939941,1679090048
BTC,9/11/2017,4122.470215,4261.669922,4099.399902,4161.27002,4161.27002,1557330048
BTC,9/12/2017,4168.879883,4344.649902,4085.219971,4130.810059,4130.810059,1864530048
BTC,9/13/2017,4131.97998,4131.97998,3789.919922,3882.590088,3882.590088,2219409920
BTC,9/14/2017,3875.370117,3920.600098,3153.860107,3154.949951,3154.949951,2716310016
BTC,9/15/2017,3166.300049,3733.449951,2946.620117,3637.52002,3637.52002,4148069888
BTC,9/16/2017,3637.75,3808.840088,3487.790039,3625.040039,3625.040039,1818400000
BTC,9/17/2017,3606.280029,3664.810059,3445.639893,3582.879883,3582.879883,1239149952
BTC,9/18/2017,3591.090088,4079.22998,3591.090088,4065.199951,4065.199951,1943209984
BTC,9/19/2017,4073.790039,4094.070068,3868.870117,3924.969971,3924.969971,1563980032
BTC,9/20/2017,3916.360107,4031.389893,3857.72998,3905.949951,3905.949951,1213830016
BTC,9/21/2017,3901.469971,3916.419922,3613.629883,3631.040039,3631.040039,1411480064
BTC,9/22/2017,3628.02002,3758.27002,3553.530029,3630.699951,3630.699951,1194829952
BTC,9/23/2017,3629.919922,3819.209961,3594.580078,3792.399902,3792.399902,928113984
BTC,9/24/2017,3796.149902,3796.149902,3666.899902,3682.840088,3682.840088,768014976
BTC,9/25/2017,3681.580078,3950.25,3681.580078,3926.070068,3926.070068,1374210048
BTC,9/26/2017,3928.409912,3969.889893,3869.899902,3892.350098,3892.350098,1043740032
BTC,9/27/2017,3892.939941,4210.049805,3884.820068,4200.669922,4200.669922,1686880000
BTC,9/28/2017,4197.129883,4279.310059,4109.700195,4174.72998,4174.72998,1712320000
BTC,9/29/2017,4171.620117,4214.629883,4039.290039,4163.069824,4163.069824,1367049984
BTC,9/30/2017,4166.109863,4358.430176,4160.859863,4338.709961,4338.709961,1207449984
BTC,10/1/2017,4341.049805,4403.740234,4269.810059,4403.740234,4403.740234,1208210048
BTC,10/2/2017,4395.810059,4470.22998,4377.459961,4409.319824,4409.319824,1431730048
BTC,10/3/2017,4408.459961,4432.470215,4258.890137,4317.47998,4317.47998,1288019968
BTC,10/4/2017,4319.370117,4352.310059,4210.419922,4229.359863,4229.359863,1116770048
BTC,10/5/2017,4229.879883,4362.640137,4164.049805,4328.410156,4328.410156,1161769984
BTC,10/6/2017,4324.459961,4413.27002,4320.529785,4370.810059,4370.810059,1069939968
BTC,10/7/2017,4369.350098,4443.879883,4321.049805,4426.890137,4426.890137,906928000
BTC,10/8/2017,4429.669922,4624.140137,4405.640137,4610.47998,4610.47998,1313869952
BTC,10/9/2017,4614.52002,4878.709961,4564.25,4772.02002,4772.02002,1968739968
BTC,10/10/2017,4776.209961,4922.169922,4765.100098,4781.990234,4781.990234,1597139968
